anchor,recommended,cosine_score
zara_33.jpg,zara_08.jpg,1205.7601
zara_33.jpg,zara_36.jpg,1195.7195
zara_34.jpg,zara_12.jpg,1742.4087
zara_34.jpg,zara_28.jpg,1717.074
zara_34.jpg,zara_38.jpg,1671.2894
zara_34.jpg,zara_08.jpg,1605.4856
zara_34.jpg,zara_36.jpg,1591.068
zara_35.jpg,zara_12.jpg,1322.1097
zara_35.jpg,zara_28.jpg,1300.6335
zara_35.jpg,zara_38.jpg,1266.4371
zara_35.jpg,zara_08.jpg,1218.1683
zara_35.jpg,zara_36.jpg,1205.1976
zara_36.jpg,zara_12.jpg,1981.703
zara_36.jpg,zara_28.jpg,1955.2919
zara_36.jpg,zara_38.jpg,1902.6014
zara_36.jpg,zara_08.jpg,1826.0259
zara_36.jpg,zara_31.jpg,1790.2117
zara_37.jpg,zara_12.jpg,1404.7397
zara_37.jpg,zara_28.jpg,1380.5851
zara_37.jpg,zara_38.jpg,1344.5719
zara_37.jpg,zara_08.jpg,1294.2722
zara_37.jpg,zara_36.jpg,1279.2869
zara_38.jpg,zara_12.jpg,2082.926
zara_38.jpg,zara_28.jpg,2053.2854
zara_38.jpg,zara_08.jpg,1919.2561
zara_38.jpg,zara_36.jpg,1902.6014
zara_38.jpg,zara_31.jpg,1879.9869
zara_39.jpg,zara_12.jpg,1686.0736
zara_39.jpg,zara_28.jpg,1663.788
zara_39.jpg,zara_38.jpg,1618.9117
zara_39.jpg,zara_08.jpg,1553.6251
zara_39.jpg,zara_36.jpg,1541.6903
zara_40.jpg,zara_12.jpg,1300.2277
zara_40.jpg,zara_28.jpg,1283.033
zara_40.jpg,zara_38.jpg,1248.4297
zara_40.jpg,zara_08.jpg,1198.092
zara_40.jpg,zara_36.jpg,1188.8805
zara_41.jpg,zara_12.jpg,1801.5396
zara_41.jpg,zara_28.jpg,1777.7609
zara_41.jpg,zara_38.jpg,1729.8035
zara_41.jpg,zara_08.jpg,1660.0212
zara_41.jpg,zara_36.jpg,1647.2985
zara_42.jpg,zara_12.jpg,1955.3916
zara_42.jpg,zara_28.jpg,1927.7717
zara_42.jpg,zara_38.jpg,1876.1992
zara_42.jpg,zara_08.jpg,1801.7488
zara_42.jpg,zara_36.jpg,1786.2986
zara_43.jpg,zara_12.jpg,1906.9709
zara_43.jpg,zara_28.jpg,1880.2715
zara_43.jpg,zara_38.jpg,1829.9196
zara_43.jpg,zara_08.jpg,1757.1377
zara_43.jpg,zara_36.jpg,1742.2838
zara_44.jpg,zara_12.jpg,1410.269
zara_44.jpg,zara_28.jpg,1390.7676
zara_44.jpg,zara_38.jpg,1353.4662
zara_44.jpg,zara_08.jpg,1299.4701
zara_44.jpg,zara_36.jpg,1288.7054
zara_45.jpg,zara_12.jpg,1785.1725
zara_45.jpg,zara_28.jpg,1760.8829
zara_45.jpg,zara_38.jpg,1713.5475
zara_45.jpg,zara_08.jpg,1644.9244
zara_45.jpg,zara_36.jpg,1631.6573
zara_46.jpg,zara_12.jpg,1852.0889
zara_46.jpg,zara_28.jpg,1827.6613
zara_46.jpg,zara_38.jpg,1778.3555
zara_46.jpg,zara_08.jpg,1706.5995
zara_46.jpg,zara_36.jpg,1693.5334
zara_47.jpg,zara_12.jpg,1258.8171
zara_47.jpg,zara_28.jpg,1242.1885
zara_47.jpg,zara_38.jpg,1208.6854
zara_47.jpg,zara_08.jpg,1159.9354
zara_47.jpg,zara_36.jpg,1151.032
zara_48.jpg,zara_12.jpg,1433.8042
zara_48.jpg,zara_28.jpg,1415.0035
zara_48.jpg,zara_38.jpg,1376.8064
zara_48.jpg,zara_08.jpg,1321.1779
zara_48.jpg,zara_36.jpg,1311.1615
zara_49.jpg,zara_12.jpg,1472.7943
zara_49.jpg,zara_28.jpg,1452.3958
zara_49.jpg,zara_38.jpg,1413.4283
zara_49.jpg,zara_08.jpg,1357.0808
zara_49.jpg,zara_36.jpg,1345.7983
zara_50.jpg,zara_12.jpg,1459.5175
zara_50.jpg,zara_28.jpg,1439.2454
zara_50.jpg,zara_38.jpg,1400.6443
zara_50.jpg,zara_08.jpg,1344.8456
zara_50.jpg,zara_36.jpg,1333.6128
zara_51.jpg,zara_12.jpg,1482.3376
zara_51.jpg,zara_28.jpg,1461.7285
zara_51.jpg,zara_38.jpg,1422.5297
zara_51.jpg,zara_08.jpg,1365.8726
zara_51.jpg,zara_36.jpg,1354.4464
zara_53.jpg,zara_12.jpg,1907.2107
zara_53.jpg,zara_28.jpg,1881.2473
zara_53.jpg,zara_38.jpg,1830.6793
zara_53.jpg,zara_08.jpg,1757.3733
zara_53.jpg,zara_36.jpg,1743.1844
